game_ID,year,host_country,stage,team,pre_penalties_score,won,winner_took_first_penalty,penalty_round,kick_in_round,penalty_scored,penalty_kicker
1,1982,Spain,Semi-finals,West Germany,3,True,False,1,2,True,Manfred Kaltz
2,1986,Mexico,Quarter-finals,France,1,True,False,1,2,True,Yannick Stopyra
3,1986,Mexico,Quarter-finals,West Germany,0,True,True,1,1,True,Klaus Allofs
4,1986,Mexico,Quarter-finals,Belgium,1,True,False,1,2,True,Nico Claesen
5,1990,Italy,Second round,Republic of Ireland,0,True,False,1,2,True,Kevin Sheedy
6,1990,Italy,Quarter-finals,Argentina,0,True,True,1,1,True,José Serrizuela
7,1990,Italy,Quarter-finals,Argentina,1,True,False,1,2,True,José Serrizuela
8,1990,Italy,Quarter-finals,West Germany,1,True,False,1,2,True,Andreas Brehme
9,1994,USA,Second round,Bulgaria,1,True,False,1,2,False,Krasimir Balakov
10,1994,USA,Quarter-finals,Sweden,2,True,True,1,1,False,Håkan Mild
11,1994,USA,Final,Brazil,0,True,False,1,2,False,Márcio Santos
12,1998,France,Second round,Argentina,2,True,True,1,1,True,Sergio Berti
13,1998,France,Quarter-finals,France,0,True,True,1,1,True,Zinedine Zidane
14,1998,France,Semi-finals,Brazil,1,True,True,1,1,True,Ronaldo
15,2002,Korea/Japan,Second round,Spain,1,True,False,1,2,True,Fernando Hierro
16,2002,Korea/Japan,Quarter-finals,South Korea,0,True,True,1,1,True,Hwang Sun-hong
17,2006,Germany,Second round,Ukraine,0,True,True,1,1,False,Andriy Shevchenko
18,2006,Germany,Quarter-finals,Germany,1,True,True,1,1,True,Oliver Neuville
19,2006,Germany,Quarter-finals,Portugal,0,True,True,1,1,True,Simão Sabrosa
20,2006,Germany,Final,Italy,1,True,True,1,1,True,Andrea Pirlo
21,2010,South Africa,Second round,Paraguay,0,True,True,1,1,True,Édgar Barreto
22,2010,South Africa,Quarter-finals,Uruguay,1,True,True,1,1,True,Diego Forlán
23,2014,Brazil,Second round,Brazil,1,True,True,1,1,True,David Luiz
24,2014,Brazil,Second round,Costa Rica,1,True,True,1,1,True,Celso Borges
25,2014,Brazil,Quarter-finals,Netherlands,0,True,False,1,2,True,Robin van Persie
26,2014,Brazil,Semi-finals,Argentina,0,True,False,1,2,True,Lionel Messi
27,2018,Russia,Second round,Russia,1,True,False,1,2,True,Fyodor Smolov
28,2018,Russia,Second round,Croatia,1,True,False,1,2,False,Milan Badelj
29,2018,Russia,Second round,England,1,True,False,1,2,True,Harry Kane
30,2018,Russia,Quarter-finals,Croatia,2,True,False,1,2,True,Marcelo Brozović
1,1982,Spain,Semi-finals,France,3,False,False,1,1,True,Alain Giresse
2,1986,Mexico,Quarter-finals,Brazil,1,False,False,1,1,False,Sócrates
3,1986,Mexico,Quarter-finals,Mexico,0,False,True,1,2,True,Manuel Negrete Arias
4,1986,Mexico,Quarter-finals,Spain,1,False,False,1,1,True,Juan Antonio Señor
5,1990,Italy,Second round,Romania,0,False,False,1,1,True,Gheorghe Hagi
6,1990,Italy,Quarter-finals,Yugoslavia,0,False,True,1,2,False,Dragan Stojković
7,1990,Italy,Quarter-finals,Italy,1,False,False,1,1,True,Franco Baresi
8,1990,Italy,Quarter-finals,England,1,False,False,1,1,True,Gary Lineker
9,1994,USA,Second round,Mexico,1,False,False,1,1,False,Alberto García Aspe
10,1994,USA,Quarter-finals,Romania,2,False,True,1,2,True,Florin Răducioiu
11,1994,USA,Final,Italy,0,False,False,1,1,False,Franco Baresi
12,1998,France,Second round,England,2,False,True,1,2,True,Alan Shearer
13,1998,France,Quarter-finals,Italy,0,False,True,1,2,True,Roberto Baggio
14,1998,France,Semi-finals,Netherlands,1,False,True,1,2,True,Frank de Boer
15,2002,Korea/Japan,Second round,Republic of Ireland,1,False,False,1,1,True,Robbie Keane
16,2002,Korea/Japan,Quarter-finals,Spain,0,False,True,1,2,True,Fernando Hierro
17,2006,Germany,Second round,Switzerland,0,False,True,1,2,False,Marco Streller
18,2006,Germany,Quarter-finals,Argentina,1,False,True,1,2,True,Julio Ricardo Cruz
19,2006,Germany,Quarter-finals,England,0,False,True,1,2,False,Frank Lampard
20,2006,Germany,Final,France,1,False,True,1,2,True,Sylvain Wiltord
21,2010,South Africa,Second round,Japan,0,False,True,1,2,True,Yasuhito Endō
22,2010,South Africa,Quarter-finals,Ghana,1,False,True,1,2,True,Asamoah Gyan
23,2014,Brazil,Second round,Chile,1,False,True,1,2,False,Mauricio Pinilla
24,2014,Brazil,Second round,Greece,1,False,True,1,2,True,Konstantinos Mitroglou
25,2014,Brazil,Quarter-finals,Costa Rica,0,False,False,1,1,True,Celso Borges
26,2014,Brazil,Semi-finals,Netherlands,0,False,False,1,1,False,Ron Vlaar
27,2018,Russia,Second round,Spain,1,False,False,1,1,True,Andrés Iniesta
28,2018,Russia,Second round,Denmark,1,False,False,1,1,False,Christian Eriksen
29,2018,Russia,Second round,Colombia,1,False,False,1,1,True,Radamel Falcao
30,2018,Russia,Quarter-finals,Russia,2,False,False,1,1,False,Fyodor Smolov
1,1982,Spain,Semi-finals,West Germany,3,True,False,2,2,True,Paul Breitner
2,1986,Mexico,Quarter-finals,France,1,True,False,2,2,True,Manuel Amoros
3,1986,Mexico,Quarter-finals,West Germany,0,True,True,2,1,True,Andreas Brehme
4,1986,Mexico,Quarter-finals,Belgium,1,True,False,2,2,True,Enzo Scifo
5,1990,Italy,Second round,Republic of Ireland,0,True,False,2,2,True,Ray Houghton
6,1990,Italy,Quarter-finals,Argentina,0,True,True,2,1,True,Jorge Burruchaga
7,1990,Italy,Quarter-finals,Argentina,1,True,False,2,2,True,Jorge Burruchaga
8,1990,Italy,Quarter-finals,West Germany,1,True,False,2,2,True,Lothar Matthäus
9,1994,USA,Second round,Bulgaria,1,True,False,2,2,True,Boncho Genchev
10,1994,USA,Quarter-finals,Sweden,2,True,True,2,1,True,Kennet Andersson
11,1994,USA,Final,Brazil,0,True,False,2,2,True,Romário
12,1998,France,Second round,Argentina,2,True,True,2,1,False,Hernán Crespo
13,1998,France,Quarter-finals,France,0,True,True,2,1,False,Bixente Lizarazu
14,1998,France,Semi-finals,Brazil,1,True,True,2,1,True,Rivaldo
15,2002,Korea/Japan,Second round,Spain,1,True,False,2,2,True,Rubén Baraja
16,2002,Korea/Japan,Quarter-finals,South Korea,0,True,True,2,1,True,Park Ji-sung
17,2006,Germany,Second round,Ukraine,0,True,True,2,1,True,Artem Milevskiy
18,2006,Germany,Quarter-finals,Germany,1,True,True,2,1,True,Michael Ballack
19,2006,Germany,Quarter-finals,Portugal,0,True,True,2,1,False,Hugo Viana
20,2006,Germany,Final,Italy,1,True,True,2,1,True,Marco Materazzi
21,2010,South Africa,Second round,Paraguay,0,True,True,2,1,True,Lucas Barrios
22,2010,South Africa,Quarter-finals,Uruguay,1,True,True,2,1,True,Mauricio Victorino
23,2014,Brazil,Second round,Brazil,1,True,True,2,1,False,Willian
